Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
373,WB4BSC,442.100000,+,5.000000,Tone,100.0,100.0,023,NN,Auto,5.00,,Tellico Village,,,,
374,W4BBB,444.575000,+,5.000000,Tone,100.0,88.5,023,NN,Auto,5.00,,"Walland, Chilhowee Mtn",,,,
375,K4BTL,442.000000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,Alcoa,,,,
376,N4ABV,442.625000,+,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,,Maryville,,,,
377,WB4GBI,440.575000,+,5.000000,,88.5,88.5,023,NN,DIG,5.00,,"Sevierville, Bluff Mountain",,,,
378,K4USD,434.975000,+,5.000000,,88.5,88.5,023,NN,DIG,5.00,,Sevierville,,,,
379,KD4TUD,444.625000,+,5.000000,Tone,173.8,173.8,023,NN,FM,5.00,,Dandridge ,,,,
380,W8EYU,443.850000,+,5.000000,,88.5,118.8,023,NN,Auto,5.00,,"Crossville, Fairfield Glade Resort",,,,
381,W3FCC,443.350000,+,5.000000,Tone,141.3,141.3,023,NN,FM,5.00,,Tellico Plains,,,,
382,KM4UIP,443.425000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,"Morristown, I-81 I-40 Split",,,,
383,W4FLQ,443.325000,+,5.000000,,88.5,173.8,023,NN,FM,5.00,,Sylva,,,,
384,W4YJ,444.125000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,Sweetwater,,,,
385,K4KVE,442.375000,+,5.000000,Tone,103.5,88.5,023,NN,Auto,5.00,,Robbinsville,,,,
386,WX4RP,442.150000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,"Clinton, I 75",,,,
387,W4KEV,441.925000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,Oak Ridge,,,,
388,KG4GVX,444.600000,+,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,,Morristown,,,,
389,,443.725000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,Dandridge,,,,
390,KQ4E,444.975000,+,5.000000,,88.5,141.3,023,NN,Auto,5.00,,Morristown,,,,
391,,443.825000,+,5.000000,,88.5,88.5,023,NN,Auto,5.00,,Morristown,,,,
392,K4USD,442.175000,+,5.000000,,88.5,88.5,023,NN,DIG,5.00,,Sevierville,,,,
393,KK4GGK,440.725000,+,5.000000,,88.5,88.5,023,NN,DV,5.00,,Dayton,CQCQCQ,,,0
394,,444.125000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,Sweetwater,,,,
395,KB4REC,444.525000,+,5.000000,Tone,123.0,123.0,023,NN,FM,5.00,,"Knoxville, Beaver Ridge",,,,
396,W4HKL,444.675000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,Caryville,,,,
397,KK4XA,444.075000,+,5.000000,Tone,71.9,71.9,023,NN,DIG,5.00,,Alcoa,,,,
398,W3WDD,442.975000,+,5.000000,,88.5,88.5,023,NN,DIG,5.00,,"Sylva, Jackson County Library",,,,
399,WB4CDK,444.850000,+,5.000000,,88.5,88.5,023,NN,DIG,5.00,,LaFollette,,,,
400,N9BRG,444.875000,+,5.000000,,88.5,88.5,023,NN,DIG,5.00,,Blaine,,,,
401,W3WDD,444.200000,+,5.000000,,88.5,88.5,023,NN,DIG,5.00,,Franklin,,,,
402,N4ABV,443.375000,+,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,,"Louisville, Red Hill",,,,
403,KE4WX,443.625000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,Sneedville,,,,
404,W4BWW,443.600000,+,5.000000,DTCS,88.5,88.5,125,NN,FM,5.00,,New Market,,,,
405,N4DML,443.425000,+,5.000000,,88.5,88.5,023,NN,FM,5.00,,"Pikeville, Top of Mountain East ridge",,,,
406,AA4UT,440.600000,+,5.000000,,88.5,88.5,023,NN,DIG,5.00,,"Knoxville , Min Kao Building UT Campus",,,,
